Ranking,Crypto_Name,Price,Changes_24H,Changes_7D,Changes_30D,Changes_1Y,Market_Cap,Volume_24H,Available_Supply,Price_Yesterday,Price_Last_Week,Price_Last_Month,Price_Last_Year
1,BITCOIN,"$36,983",-2.97%,1.96%,-20.08%,8.25%,$701.49 B,$13.01 B,18.94 M BTC,"$35,885","$37,708","$29,557","$40,034"
2,WRAPPED BITCOIN,"$37,019",-2.84%,1.84%,-20.13%,8.26%,$10.04 B,$253.14 M,271.16 K WBTC,"$35,968","$37,700","$29,567","$40,077"
3,HUOBI BTC,"$36,942",-4.24%,1.37%,-20.39%,7.82%,$1.47 B,$29.51 M,39.88 K HBTC,"$35,376","$37,448","$29,410","$39,831"
4,ETHEREUM,"$2,510",-3.64%,-1.28%,-32.04%,82.54%,$298.87 B,$10.00 B,119.38 M ETH,"$2,419","$2,478","$1,706","$4,582"
5,LIDO STAKED ETHER,"$2,494",-3.23%,-1.84%,-31.98%,95.88%,$4.48 B,$2.07 M,1.79 M STETH,"$2,413","$2,448","$1,696","$4,885"
6,MAKER,"$1,989.00",1.58%,7.24%,-15.86%,24.94%,$1.78 B,$49.99 M,901.31 K MKR,"$2,020.43","$2,133.00","$1,673.54","$2,485.06"
7,BINANCE COIN,$369.80,-3.80%,-3.37%,-27.62%,730.32%,$62.31 B,$1.05 B,168.14 M BNB,$355.75,$357.34,$267.66,"$3,070.52"
8,BITCOIN CASH,$280.70,-5.84%,-6.89%,-34.79%,-31.87%,$5.34 B,$1.13 B,18.97 M BCH,$264.31,$261.36,$183.04,$191.24
9,KUSAMA,$156.10,-8.71%,-18.40%,-43.80%,54.92%,$1.40 B,$39.97 M,8.98 M KSM,$142.50,$127.38,$87.73,$241.83
10,MONERO,$142.30,-7.48%,-8.30%,-37.46%,3.07%,$2.59 B,$85.93 M,18.07 M XMR,$131.66,$130.49,$88.99,$146.67
11,AAVE,$142.10,-7.08%,-9.67%,-44.01%,-54.25%,$1.93 B,$92.85 M,13.49 M AAVE,$132.04,$128.36,$79.56,$65.01
12,ELROND,$135.68,-8.85%,1.32%,-43.15%,110.34%,$2.78 B,$96.17 M,20.47 M EGLD,$123.67,$137.47,$77.13,$285.39
13,LITECOIN,$104.80,-5.42%,-6.02%,-28.25%,20.90%,$7.31 B,$474.05 M,69.53 M LTC,$99.12,$98.49,$75.19,$126.70
14,SOLANA,$90.03,-6.35%,-9.63%,-47.06%,2028.16%,$28.43 B,$975.64,315.10 M SOL,$84.31,$81.36,$47.66,"$1,915.98"
15,QUANT,$90.70,-8.20%,-18.19%,-50.04%,189.81%,$1.20 B,$24.08 M,13.41 M QNT,$83.26,$74.20,$45.31,$262.86
16,DASH,$89.40,-8.21%,-10.15%,33.44%,-14.46%,$942.19 M,$102.53 M,10.56 M DASH,$82.06,$80.33,$119.30,$76.47
17,ZCASH,$89.20,-7.95%,-8.40%,-39.11%,6.10%,$1.08 B,$108.34 M,12.07 M ZEC,$82.11,$81.71,$54.31,$94.64
18,BITCOIN SV,$88.54,-3.92%,-5.40%,-26.97%,50.37%,$1.68 B,$54.54 M,18.97 M BSV,$85.07,$83.76,$64.66,$133.14
19,AVALANCHE,$64.98,-9.00%,0.38%,-40.72%,443.28%,$15.94 B,$542.89 M,244.91 M AVAX,$59.13,$65.23,$38.52,$353.02
20,AXIE INFINITY,$50.78,-3.26%,-6.54%,-45.91%,5924.29%,$3.60 B,$713.82 M,71.05 M AXS,$49.12,$47.46,$27.47,"$3,059.13"
21,CETH,$50.16,-3.33%,-1.60%,-32.23%,82.10%,$3.10 B,$748.11 K,61.74 M CETH,$48.49,$49.36,$33.99,$91.34
22,TERRA,$44.13,-37.40%,-48.80%,2959.17%,-37.40%,$17.59 B,$1.59 B,400.68 M LUNA,$27.63,$22.59,"$1,350.01",$27.63
23,FTX TOKEN,$40.15,-3.46%,11.20%,4.61%,248.58%,$5.54 B,$75.64 M,138.24 M FTT,$38.76,$44.65,$42.00,$139.95
24,ARWEAVE,$35.69,-5.23%,2.69%,-40.28%,605.72%,$1.77 B,$41.23 M,50.11 M AR,$33.82,$36.65,$21.31,$251.87
25,HELIUM,$27.10,0.22%,13.88%,-29.10%,1047.73%,$2.71 B,$26.07 M,100.54 M HNT,$27.16,$30.86,$19.21,$311.03
26,COSMOS,$25.82,-9.63%,-24.71%,-20.18%,223.97%,$7.45 B,$752.65 M,287.21 M ATOM,$23.33,$19.44,$20.61,$83.65
27,CONVEX FINANCE,$25.67,-7.83%,-15.57%,-48.16%,0.01%,$1.23 B,$10.10 M,48.27 M CVX,$23.66,$21.67,$13.31,$25.67
28,ETHEREUM CLASSIC,$24.27,-5.27%,-3.32%,-28.93%,222.51%,$3.22 B,$208.09 M,132.64 M ETC,$22.99,$23.46,$17.25,$78.27
29,OKB,$20.66,-4.95%,-2.37%,-28.31%,283.02%,$5.43 B,$263.37 M,262.68 M OKB,$19.64,$20.17,$14.81,$79.13
30,"FILECOIN",$19.21,-6.61%,-1.32%,-44.17%,-12.73%,$2.98 B,$260.74 M,155.20 M FIL,$17.94,$18.96,$10.72,$16.76
31,NEO,$18.93,-4.97%,1.99%,-26.34%,-16.60%,$1.34 B,$65.79 M,70.53 M NEO,$17.99,$19.31,$13.94,$15.79
32,INTERNET COMPUTER,$18.97,11.48%,-23.00%,-23.00%,0.01%,$3.75 B,$219.47 M,199.03 M ICP,$21.15,$14.61,$14.61,$18.97
33,POLKADOT,$17.36,-8.44%,-7.85%,-35.20%,5.41%,$18.71 B,$695.44 M,1.08 B DOT,$15.89,$16.00,$11.25,$18.30
34,KUCOIN TOKEN,$16.89,-4.23%,6.12%,-21.28%,1311.86%,$1.29 B,$12.74 M,76.43 M KCS,$16.18,$17.92,$13.30,$238.46
35,CHAINLINK,$16.72,-4.02%,1.14%,-14.58%,-28.65%,$7.83 B,$1.10 B,467.01 M LINK,$16.05,$16.91,$14.28,$11.93
36,UNISWAP,$10.37,-8.39%,-9.14%,-38.97%,-46.31%,$4.71 B,$130.73 M,452.63 M UNI,$9.50,$9.42,$6.33,$5.57
37,NEAR,$10.20,-7.02%,-13.29%,-30.39%,369.07%,$6.40 B,$280.93 M,628.84 M NEAR,$9.48,$8.84,$7.10,$47.85
38,BITKUB COIN,$9.53,-2.15%,10.83%,-35.09%,0.01%,$847.04 M,$5.11 M,88.75 M KUB,$9.33,$10.56,$6.19,$9.53
39,HUOBI TOKEN,$9.02,1.73%,-2.30%,-3.77%,41.22%,$1.41 B,$31.94 M,156.74 M HT,$9.18,$8.81,$8.68,$12.74
40,WAVES,$8.58,-11.55%,-5.24%,-40.13%,30.83%,$871.79 M,$79.10 M,100.00 M WAVES,$7.59,$8.13,$5.14,$11.23
41,PANCAKESWAP,$7.25,1.12%,-10.66%,-38.12%,350.63%,$1.97 B,$112.88 M,269.93 M CAKE,$7.33,$6.48,$4.49,$32.67
42,OSMOSIS,$6.85,-8.66%,-20.29%,9.52%,0.01%,$1.95 B,$45.24 M,284.93 M OSMO,$6.26,$5.46,$7.50,$6.85
43,GATETOKEN,$6.80,-0.18%,11.12%,3.80%,1120.17%,$1.07 B,$4.63 M,157.15 M GT,$6.79,$7.56,$7.06,$82.97
44,FLOW,$6.75,6.51%,27.95%,-24.67%,-25.81%,$2.13 B,$433.79 M,318.08 M FLOW,$7.19,$8.64,$5.08,$5.01
45,KADENA,$5.58,-13.21%,-3.04%,-55.02%,2956.40%,$936.97 M,$29.46 M,167.82 M KDA,$4.84,$5.41,$2.51,$170.55
46,SYNTHETIX NETWORK TOKEN,$5.32,0.04%,30.28%,-6.99%,-71.09%,$1.03 B,$84.80 M,201.36 M SNX,$5.32,$6.93,$4.95,$1.54
